,Federal Provider Number,Provider Name,Provider State,Survey Date,Survey Type,Deficiency Prefix,Deficiency Tag Number,Deficiency Description,Scope Severity Code,Deficiency Corrected,Correction Date,Inspection Cycle,Standard Deficiency,Complaint Deficiency
74203,175532,AVITA HEALTH AND REHAB AT REEDS COVE,KS,05/01/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",05/10/2019,1,Y,False
74213,175484,SALEM HOME,KS,08/08/2019,Health,F,880,Provide and implement an infection prevention and control program.,F,"Deficient, Provider has date of correction",09/10/2019,1,Y,False
74269,165463,CRESTVIEW NURSING & REHAB,IA,05/22/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",06/13/2019,1,Y,False
74271,165305,CHARITON SPECIALTY CARE,IA,11/01/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",12/07/2018,1,Y,False
74287,165382,"ACCURA HEALTHCARE OF KNOXVILLE, LLC",IA,05/22/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",06/03/2019,1,Y,False
74323,165619,WESTWING PLACE,IA,10/18/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",11/08/2018,1,Y,False
74326,175303,PARSONS PRESBYTERIAN MANOR,KS,08/28/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",10/04/2019,1,Y,False
74337,175464,MEDICALODGES INDEPENDENCE,KS,04/15/2019,Health,F,880,Provide and implement an infection prevention and control program.,F,"Deficient, Provider has date of correction",05/09/2019,1,Y,False
74338,175504,SPRING VIEW MANOR,KS,06/12/2019,Health,F,880,Provide and implement an infection prevention and control program.,F,"Deficient, Provider has date of correction",07/24/2019,1,Y,False
74348,165511,LINN MANOR CARE CENTER,IA,12/12/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",12/30/2019,1,Y,False
74386,185444,"CAMBRIDGE PLACE GROUP, LLC",KY,03/14/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",04/22/2019,1,Y,True
74389,235351,SKLD PLYMOUTH,MI,05/02/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",06/03/2019,1,Y,False
74400,195480,LANDMARK SOUTH NURSING & REHABILITATION CENTER,LA,08/30/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",09/26/2019,1,Y,False
74425,185250,OAKMONT MANOR,KY,01/17/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",01/23/2019,1,Y,False
74467,195319,THIBODAUX HEALTHCARE CENTER,LA,08/29/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",09/10/2019,1,Y,False
74468,195394,COLONIAL MANOR NURSING & REHABILITATION HOME,LA,03/21/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",05/01/2019,1,Y,False
74487,205162,EVERGREEN MANOR,ME,05/08/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",06/15/2019,1,Y,False
74507,185127,DANVILLE CENTRE FOR HEALTH & REHABILITATION,KY,04/11/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",05/03/2019,1,Y,False
74521,185195,OAKVIEW NURSING & REHABILITATION CENTER,KY,02/14/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",03/20/2019,1,N,True
74556,17E531,KEARNY COUNTY HOSPITAL LTCU,KS,12/05/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",12/30/2019,1,Y,False
74566,185193,HYDEN HEALTH AND REHABILITATION CENTER,KY,08/01/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",09/06/2019,1,Y,False
74587,185124,REDBANKS,KY,01/04/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",02/18/2019,1,Y,False
74594,185178,LOUISVILLE EAST POST ACUTE,KY,05/16/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",06/26/2019,1,Y,False
74602,185442,NAZARETH HOME CLIFTON,KY,11/21/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",12/27/2018,1,Y,False
74603,195484,LANDMARK NURSING CENTER HAMMOND,LA,12/21/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",01/21/2019,1,Y,False
74604,205072,MARSHWOOD CENTER,ME,07/22/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",09/06/2019,1,N,True
74620,195473,GUEST HOUSE (THE),LA,06/13/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",07/16/2019,1,Y,False
74650,185310,THE EPISCOPAL CHURCH HOME,KY,10/05/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",11/16/2018,1,Y,False
74658,195449,LAFOURCHE HOME FOR AGED & INFIRM,LA,07/25/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",08/05/2019,1,Y,False
74667,185146,FOUNTAIN CIRCLE CARE & REHABILITATION CENTER,KY,12/19/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",01/08/2020,1,Y,False
74672,195523,BELLE MAISON NURSING & REHABILITATION L L C,LA,05/09/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",05/22/2019,1,Y,False
74676,185400,HEARTHSTONE PLACE,KY,09/13/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",10/15/2018,1,Y,False
74687,195425,PATTERSON HEALTHCARE CENTER,LA,06/14/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",07/05/2019,1,Y,False
74693,195618,CONSOLATA HOME,LA,04/10/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",05/25/2019,1,Y,False
74730,185401,EDMONSON CENTER,KY,01/24/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",03/05/2019,1,Y,False
74736,185341,GREEN ACRES HEALTHCARE,KY,12/20/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",01/31/2019,1,Y,False
74763,185342,SIGNATURE HEALTHCARE AT COLONIAL REHAB & WELLNESS,KY,05/24/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",06/24/2019,1,Y,False
74774,195358,LULING LIVING CENTER,LA,04/11/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",05/06/2019,1,Y,False
74775,195344,SPRING LAKE SKILLED NURSING AND REHABILITATION,LA,10/04/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",11/04/2019,1,Y,False
74781,195307,MAISON DE'VILLE NURSING HOME,LA,02/21/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",03/29/2019,1,Y,False
74784,185222,GOOD SHEPHERD HEALTH AND REHABILITATION,KY,10/31/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",11/15/2019,1,Y,False
74789,17E658,PHILLIPS COUNTY RETIREMENT CENTER,KS,04/25/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",05/14/2019,1,Y,False
74824,195477,FLANNERY OAKS GUEST HOUSE,LA,03/14/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",04/01/2019,1,Y,False
74827,185348,SYCAMORE HEIGHTS HEALTH AND REHABILITATION,KY,04/05/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",05/14/2019,1,Y,False
74886,185253,CARTER NURSING AND REHABILITATION,KY,03/14/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",04/12/2019,1,N,True
74887,185464,"BEDROCK HC AT GREEN MEADOWS, LLC",KY,06/28/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",08/11/2019,1,Y,False
74890,185333,KLONDIKE CENTER,KY,09/06/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",11/21/2019,1,Y,False
74894,195447,HERITAGE MANOR WEST,LA,02/21/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",04/01/2019,1,Y,False
74910,195291,HERITAGE MANOR HEALTH & REHAB,LA,09/26/2019,Health,F,880,Provide and implement an infection prevention and control program.,B,"Deficient, Provider has date of correction",11/10/2019,1,Y,False
74954,195574,MAISON TECHE NURSING CENTER,LA,08/22/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",10/06/2019,1,Y,False
74972,195637,REGENCY HOUSE OF ALEXANDRIA,LA,01/24/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",03/05/2019,1,Y,False
74999,185122,"LANDMARK OF LOUISVILLE REHABILITATION AND NURSING,",KY,09/20/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",11/02/2018,1,Y,False
75053,195507,HERITAGE MANOR OF VILLE PLATTE,LA,10/04/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",11/18/2019,1,Y,False
75063,195424,LEXINGTON HOUSE,LA,03/14/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",03/28/2019,1,Y,False
75068,185463,BROOKDALE RICHMOND PLACE SNF,KY,11/01/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",12/14/2018,1,Y,False
75079,215073,THE LIONS CENTER FOR REHAB AND EXT CARE,MD,11/29/2018,Health,F,880,Provide and implement an infection prevention and control program.,C,"Deficient, Provider has date of correction",02/06/2019,1,Y,False
75109,215082,AUTUMN LAKE HEALTHCARE AT PIKESVILLE,MD,12/21/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",02/17/2019,1,Y,False
75114,205146,EASTPORT MEMORIAL NURSING HOME,ME,09/18/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",10/08/2019,1,Y,False
75125,195362,ZACHARY MANOR NURSING AND REHABILITATION CENTER,LA,11/07/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",11/15/2019,1,Y,False
75137,195492,AVALON PLACE,LA,10/10/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",11/22/2019,1,Y,False
75138,185275,SIGNATURE HEALTHCARE OF HARTFORD REHAB & WELLNESS,KY,02/14/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",03/11/2019,1,Y,False
75148,195404,"HARMONY HOUSE NURSING & REHAB CTR, INC",LA,09/19/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",10/18/2019,1,Y,False
75170,185218,SOMERSET NURSING AND REHABILITATION FACILITY,KY,11/08/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",11/30/2018,1,Y,False
75222,185137,WESTMINSTER TERRACE,KY,01/11/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",02/15/2019,1,Y,False
75242,195184,CHATEAU LIVING CENTER,LA,01/10/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",02/17/2019,1,Y,False
75247,205072,MARSHWOOD CENTER,ME,11/21/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",12/12/2019,1,Y,False
75261,25A403,JNH-ADAMS INN,MS,06/13/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",08/06/2019,1,Y,False
75275,215083,CAROLINE CENTER FOR REHABILITATION AND HEALTHCARE,MD,10/11/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",11/20/2019,1,Y,False
75276,185384,BEREA HEALTH AND REHABILITATION,KY,03/27/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",04/11/2019,1,Y,True
75313,185211,SIGNATURE HEALTHCARE OF MCCREARY COUNTY REHAB & WE,KY,05/02/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",05/04/2019,1,Y,False
75314,195420,NAOMI HEIGHTS NURSING & REHABILITATION CENTER,LA,07/18/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",08/16/2019,1,Y,False
75327,185422,FLAGET MEMORIAL HOSPITAL NF,KY,09/13/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",09/16/2019,1,Y,False
75331,185169,SIGNATURE HEALTHCARE AT JEFFERSON MANOR REHAB & WE,KY,02/15/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",04/02/2019,1,Y,False
75346,215013,ST. MARY'S NURSING CENTER INC,MD,08/27/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",10/10/2019,1,Y,False
75357,185176,"CLIFTON OAKS CARE AND REHAB CENTER, LLC",KY,11/01/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",12/07/2019,1,N,True
75362,195385,J. MICHAEL MORROW MEMORIAL NURSING  HOME,LA,06/14/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",07/16/2019,1,Y,False
75365,185327,SIGNATURE HEALTHCARE OF SPENCER COUNTY,KY,05/31/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",07/06/2019,1,Y,False
75385,195522,"GOLDEN AGE OF WELSH, LLC",LA,02/20/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",02/27/2019,1,N,True
75397,195392,LEGACY NURSING AND REHABILITATION OF WINNSBORO,LA,09/12/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",10/25/2019,1,Y,False
75413,205090,BORDERVIEW REHAB & LIVING CTR,ME,06/05/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",07/24/2019,1,Y,False
75422,195408,HERITAGE MANOR SOUTH,LA,02/07/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",03/24/2019,1,Y,False
75433,185208,CARMEL MANOR,KY,07/11/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",08/30/2019,1,Y,False
75462,185090,BRIDGE POINT CENTER,KY,05/03/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",06/12/2019,1,Y,False
75472,195272,JEFFERSON HEALTHCARE CENTER,LA,06/20/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",07/12/2019,1,Y,False
75474,205159,SEDGEWOOD COMMONS,ME,08/15/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",10/28/2019,1,Y,False
75497,215025,CADIA HEALTHCARE - WHEATON,MD,05/31/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",08/12/2019,1,Y,False
75500,215010,THE PINES GENESIS ELDERCARE,MD,10/25/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",12/01/2018,1,Y,False
75510,205098,HAWTHORNE HOUSE,ME,09/26/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",11/01/2019,1,Y,False
75525,195485,HERITAGE MANOR OF HOUMA,LA,01/16/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",02/11/2019,1,Y,False
75528,195265,HAVEN NURSING CENTER,LA,05/16/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",06/14/2019,1,Y,False
75563,185197,NORTHPOINT/LEXINGTON HEALTHCARE CENTER,KY,06/19/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",07/12/2019,1,N,True
75596,205070,PINE POINT CENTER,ME,03/07/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",04/21/2019,1,Y,False
75601,185362,NEW CASTLE NURSING & REHAB,KY,12/06/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",01/15/2019,1,Y,False
75618,185262,MADISON HEALTH AND REHABILITATION CENTER,KY,04/18/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",05/16/2019,1,Y,False
75641,195343,LEGACY NURSING AND REHABILITATION OF PLAQUEMINE,LA,06/26/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",08/02/2019,1,Y,False
75656,195389,HERITAGE MANOR OF BATON ROUGE I I,LA,09/17/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",09/26/2019,1,N,True
75687,195403,MAISON DE'VILLE NURSING HOME OF HARVEY,LA,04/04/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",05/17/2019,1,Y,False
75708,185183,HELMWOOD HEALTHCARE CENTER,KY,12/21/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",01/27/2019,1,Y,False
75709,195631,ST LUKE'S LIVING CENTER,LA,07/31/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",09/09/2019,1,Y,False
75717,195478,COLUMNS COMMUNITY CARE CENTER ( THE ),LA,02/14/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",03/01/2019,1,Y,False
75718,215064,MANOR CARE HEALTH SERVICES - ADELPHI,MD,11/21/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",12/28/2018,1,Y,False
75723,185364,OWENTON CENTER,KY,08/23/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",09/27/2018,1,Y,False
75733,215067,SALISBURY REHABILITATION AND NURSING CENTER,MD,10/16/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",11/28/2019,1,Y,False
75736,185170,BRADFORD SQUARE GENESIS HEALTHCARE,KY,10/18/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",12/05/2019,1,Y,False
75771,195498,ASSUMPTION HEALTHCARE AND REHABILITATION,LA,02/07/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",03/25/2019,1,Y,False
75772,185133,TRADEWATER POINTE,KY,06/06/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",07/08/2019,1,Y,False
75782,185122,"LANDMARK OF LOUISVILLE REHABILITATION AND NURSING,",KY,08/16/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",09/25/2019,1,N,True
75799,205077,"AUGUSTA CENTER FOR HEALTH & REHABILITATION, LLC",ME,10/10/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",11/21/2019,1,Y,False
75801,185268,JEFFERSONTOWN REHABILITATION,KY,05/10/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",07/02/2019,1,Y,False
75815,195174,MAISON ORLEANS HEALTHCARE OF NEW ORLEANS,LA,11/01/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",12/16/2019,1,Y,False
75842,195614,COVENANT HOME,LA,01/31/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",03/17/2019,1,Y,False
75866,195606,COURTYARD MANOR NURSE CARE CENTER & ASSISTED LIV,LA,06/20/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",06/21/2019,1,Y,False
75868,185155,LIFE CARE CENTER OF MOREHEAD,KY,06/20/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",07/31/2019,1,Y,False
75869,195499,ST FRANCES NSG & REHAB CENTER,LA,02/21/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",04/07/2019,1,Y,False
75892,185294,MAPLE HEALTH AND REHABILITATION,KY,03/21/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",05/03/2019,1,Y,False
75942,185243,MOUNTAIN VIEW NURSING AND REHABILITATION CENTER,KY,06/14/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",07/21/2018,1,Y,False
75953,195454,"WINNFIELD NURSING AND REHABILITATION CENTER, LLC",LA,10/17/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",11/15/2019,1,Y,False
75956,195556,"DESOTO RETIREMENT & REHAB CTR, INC",LA,05/16/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",06/07/2019,1,Y,False
75958,185175,TREYTON OAK TOWERS,KY,03/22/2019,Health,F,880,Provide and implement an infection prevention and control program.,K,"Deficient, Provider has date of correction",03/31/2019,1,Y,False
75976,185449,KINGSBROOK LIFECARE CENTER,KY,03/28/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",04/19/2019,1,Y,False
76017,185259,RIVERS EDGE NURSING AND REHABILITATION CENTER,KY,07/12/2019,Health,F,880,Provide and implement an infection prevention and control program.,F,"Deficient, Provider has date of correction",08/16/2019,1,Y,False
76054,195578,EVANGELINE OAKS GUEST HOUSE,LA,04/25/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",05/24/2019,1,Y,False
76101,195326,NEW IBERIA MANOR SOUTH,LA,08/15/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",09/20/2019,1,Y,False
76129,195579,PRESBYTERIAN VILLAGE OF HOMER,LA,09/26/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",11/01/2019,1,Y,False
76132,185227,SUPERIOR CARE HOME,KY,08/16/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",09/27/2019,1,Y,False
76150,185187,GREENWOOD NURSING & REHABILITATION CENTER,KY,10/11/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",11/04/2019,1,Y,False
76172,215081,PERRING PARKWAY CENTER,MD,02/05/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",03/22/2019,1,Y,False
76186,195506,TOLEDO RETIREMENT AND REHABILITATION CENTER,LA,11/07/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",12/22/2019,1,Y,False
76189,17E488,THE SHEPHERD'S CENTER,KS,06/06/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",07/08/2019,1,Y,False
76196,185149,LANDMARK OF BARDSTOWN REHABILITATION AND NURSING,KY,06/21/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",08/21/2019,1,Y,False
76198,195439,"FARMERVILLE NURSING AND REHABILITATION CENTER, LLC",LA,06/13/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",07/28/2019,1,Y,False
76242,195596,MARY GOSS NURSING HOME,LA,11/07/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",12/15/2019,1,Y,False
76262,185318,"CHRISTIAN CARE CENTER OF KUTTAWA, LLC",KY,01/30/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",03/09/2019,1,Y,False
76267,185407,LAKE CUMBERLAND REGIONAL HOSPITAL SCU,KY,09/12/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",10/02/2019,1,Y,False
76270,205020,BANGOR NURSING & REHABILITATION,ME,07/17/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",08/21/2019,1,Y,False
76284,195543,CAMELOT COMMUNITY CARE,LA,11/21/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",01/05/2020,1,Y,False
76289,195184,CHATEAU LIVING CENTER,LA,12/20/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has plan of correction",01/10/2020,1,N,True
76297,17E630,ANTHONY COMMUNITY CARE CENTER,KS,04/22/2019,Health,F,880,Provide and implement an infection prevention and control program.,F,"Deficient, Provider has date of correction",05/17/2019,1,Y,False
76335,215094,WESTMINSTER HEALTHCARE CENTER,MD,05/07/2019,Health,F,880,Provide and implement an infection prevention and control program.,F,"Deficient, Provider has date of correction",06/21/2019,1,Y,False
76338,185297,SANSBURY CARE CENTER,KY,12/05/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",01/06/2020,1,Y,False
76342,195629,LOUISIANA WAR VETERANS HOME,LA,06/05/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",06/28/2019,1,Y,False
76396,185096,LANDMARK OF IROQUOIS PARK REHAB AND NURSING CENTER,KY,06/24/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",07/23/2019,1,Y,False
76432,195460,BELLE TECHE NURSING & REHABILITATION CENTER,LA,03/28/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",05/03/2019,1,Y,False
76433,185141,SIGNATURE HEALTHCARE OF GEORGETOWN,KY,05/30/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",07/11/2019,1,Y,False
76437,185295,"HARBORVIEW DOVER, LLC",KY,10/09/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",11/13/2019,1,N,True
76444,195483,CARRINGTON PLACE OF BATON ROUGE,LA,04/11/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",05/30/2019,1,Y,False
76456,185069,MAYFAIR MANOR,KY,05/09/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",06/17/2019,1,Y,False
76461,185147,CHRISTIAN HEALTH CENTER,KY,12/13/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",01/23/2019,1,Y,False
76467,205163,MID COAST SENIOR HEALTH CENTER,ME,06/20/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",08/16/2019,1,Y,False
76505,195621,SAGE REHABILITATION HOSPITAL SNF,LA,10/31/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",12/15/2019,1,Y,True
76514,195624,RESTHAVEN LIVING CENTER,LA,09/26/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",11/10/2019,1,Y,False
